"Ano-Mes"-01;"Clasificador";"Agregacion";"Variacion %"
"2022-03"-01;"Items";"Instalacion electrica";"4.9"
"2022-03"-01;"Items";"Carpinteria metalica y herreria";"1.8"
"2022-03"-01;"Items";"Carpinteria de madera";"4.9"
"2022-03"-01;"Items";"Ascensores";"2.6"
"2022-03"-01;"Items";"Vidrios";"5.8"
"2022-03"-01;"Items";"Pintura";"4.3"
"2022-03"-01;"Items";"Otros trabajos y gastos";"6.7"
"2022-04"-01;"Items";"Movimiento de tierras";"3.1"
"2022-04"-01;"Items";"Estructura";"2.5"
"2022-04"-01;"Items";"Albanileria";"0.7"
"2022-04"-01;"Items";"Yeseria";"1.6"
"2022-04"-01;"Items";"Instalacion sanitaria y contraincendio";"4.2"
"2022-04"-01;"Items";"Instalacion de gas";"5.3"
"2022-04"-01;"Items";"Instalacion electrica";"2.4"
"2022-04"-01;"Items";"Carpinteria metalica y herreria";"6.8"
"2022-04"-01;"Items";"Carpinteria de madera";"5.7"
"2022-04"-01;"Items";"Ascensores";"5.6"
"2022-04"-01;"Items";"Vidrios";"4.1"
"2022-04"-01;"Items";"Pintura";"2.2"
"2022-04"-01;"Items";"Otros trabajos y gastos";"1.7"
"2022-05"-01;"Items";"Movimiento de tierras";"6.3"
"2022-05"-01;"Items";"Estructura";"7.5"
"2022-05"-01;"Items";"Albanileria";"7.7"
"2022-05"-01;"Items";"Yeseria";"7.7"
"2022-05"-01;"Items";"Instalacion sanitaria y contraincendio";"4.7"
"2022-05"-01;"Items";"Instalacion de gas";"4.8"
"2022-05"-01;"Items";"Instalacion electrica";"6.9"
"2022-05"-01;"Items";"Carpinteria metalica y herreria";"2.6"
"2022-05"-01;"Items";"Carpinteria de madera";"5.5"
"2022-05"-01;"Items";"Ascensores";"4.2"
"2022-05"-01;"Items";"Vidrios";"1.9"
"2022-05"-01;"Items";"Pintura";"5.0"
"2022-05"-01;"Items";"Otros trabajos y gastos";"6.2"
"2022-06"-01;"Items";"Movimiento de tierras";"6.4"
"2022-06"-01;"Items";"Estructura";"7.2"
"2022-06"-01;"Items";"Albanileria";"7.5"
"2022-06"-01;"Items";"Yeseria";"8.4"
"2022-06"-01;"Items";"Instalacion sanitaria y contraincendio";"5.2"
"2022-06"-01;"Items";"Instalacion de gas";"4.4"
"2022-06"-01;"Items";"Instalacion electrica";"6.3"
"2022-06"-01;"Items";"Carpinteria metalica y herreria";"3.7"
"2022-06"-01;"Items";"Carpinteria de madera";"6.1"
"2022-06"-01;"Items";"Ascensores";"4.5"
"2022-06"-01;"Items";"Vidrios";"5.7"
"2022-06"-01;"Items";"Pintura";"3.1"
"2022-06"-01;"Items";"Otros trabajos y gastos";"6.9"
"2022-07"-01;"Items";"Movimiento de tierras";"4.7"
"2022-07"-01;"Items";"Estructura";"4.5"
"2022-07"-01;"Items";"Albanileria";"3.0"
"2022-07"-01;"Items";"Yeseria";"5.3"
"2022-07"-01;"Items";"Instalacion sanitaria y contraincendio";"15.1"
