periodo;nivel_general_aperturas;indice_icc
01/03/2023;12_p197ur@;212,916,109,916,923
01/03/2023;13_07r0$_7r@8@j0$_y_g@$70$;214,315,317,199,293
01/04/2023;1_50v1513970_d3_713rr@$;229,799,746,544,182
01/04/2023;2_3$7ruc7ur@;237,117,762,768,753
01/04/2023;3_@|8@91|3r1@;231,786,868,206,686
01/04/2023;4_y3$3r1@;246,121,376,704,646
01/04/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;262,930,342,951,183
01/04/2023;6_19$7@|@c109_d3_g@$;240,786,780,354,892
01/04/2023;7_19$7@|@c109_3|3c7r1c@;251,399,373,443,044
01/04/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;248,552,829,390,043
01/04/2023;9_c@rp1973r1@_d3_5@d3r@;250,348,870,272,753
01/04/2023;10_@$c39$0r3$;23,086,385,309,932
01/04/2023;11_v1dr10$;277,963,013,485,073
01/04/2023;12_p197ur@;224,366,757,683,146
01/04/2023;13_07r0$_7r@8@j0$_y_g@$70$;245,438,299,652,098
01/05/2023;1_50v1513970_d3_713rr@$;248,768,636,886,581
01/05/2023;2_3$7ruc7ur@;254,229,885,689,918
01/05/2023;3_@|8@91|3r1@;249,066,561,384,567
01/05/2023;4_y3$3r1@;2,626,217,604,345
01/05/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;286,554,031,144,301
01/05/2023;6_19$7@|@c109_d3_g@$;264,966,313,763,234
01/05/2023;7_19$7@|@c109_3|3c7r1c@;275,157,582,848,947
01/05/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;273,229,897,975,567
01/05/2023;9_c@rp1973r1@_d3_5@d3r@;274,400,139,985,564
01/05/2023;10_@$c39$0r3$;249,974,637,313,584
01/05/2023;11_v1dr10$;305,776,950,658,664
01/05/2023;12_p197ur@;237,534,131,179,922
01/05/2023;13_07r0$_7r@8@j0$_y_g@$70$;261,498,830,820,707
01/06/2023;1_50v1513970_d3_713rr@$;272,270,531,965,217
01/06/2023;2_3$7ruc7ur@;266,288,154,944,496
01/06/2023;3_@|8@91|3r1@;260,441,862,526,287
01/06/2023;4_y3$3r1@;273,460,652,931,106
01/06/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;306,279,306,323,964
01/06/2023;6_19$7@|@c109_d3_g@$;291,675,364,990,714
01/06/2023;7_19$7@|@c109_3|3c7r1c@;285,664,678,795,199
01/06/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;292,693,357,465,006
01/06/2023;9_c@rp1973r1@_d3_5@d3r@;294,956,145,147,532
01/06/2023;10_@$c39$0r3$;270,898,853,606,574
01/06/2023;11_v1dr10$;327,301,426,455,686
01/06/2023;12_p197ur@;249,275,257,073,142
01/06/2023;13_07r0$_7r@8@j0$_y_g@$70$;291,160,814,433,186
01/07/2023;1_50v1513970_d3_713rr@$;293,312,620,814,913
01/07/2023;2_3$7ruc7ur@;288,136,374,265,788
01/07/2023;3_@|8@91|3r1@;283,249,671,664,881
01/07/2023;4_y3$3r1@;296,094,810,791,664
01/07/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;331,312,179,025,976
01/07/2023;6_19$7@|@c109_d3_g@$;309,581,260,421,044
01/07/2023;7_19$7@|@c109_3|3c7r1c@;310,164,565,562,014
01/07/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;312,841,358,574,285
01/07/2023;9_c@rp1973r1@_d3_5@d3r@;318,988,823,027,625
01/07/2023;10_@$c39$0r3$;296,436,542,558,588
01/07/2023;11_v1dr10$;348,651,492,711,825
01/07/2023;12_p197ur@;268,815,720,676,233
01/07/2023;13_07r0$_7r@8@j0$_y_g@$70$;31,511,092,945,001
01/08/2023;1_50v1513970_d3_713rr@$;316,473,460,139,109
01/08/2023;2_3$7ruc7ur@;326,724,624,124,792
01/08/2023;3_@|8@91|3r1@;316,748,716,874,411
01/08/2023;4_y3$3r1@;342,163,055,670,347
01/08/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;392,815,970,757,767
01/08/2023;6_19$7@|@c109_d3_g@$;384,592,443,980,534
01/08/2023;7_19$7@|@c109_3|3c7r1c@;368,970,332,905,563
01/08/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;375,042,692,627,676
01/08/2023;9_c@rp1973r1@_d3_5@d3r@;39,073,251,820,906
01/08/2023;10_@$c39$0r3$;363,246,931,114,944
01/08/2023;11_v1dr10$;394,630,329,721,724
01/08/2023;12_p197ur@;321,980,479,869,866
01/08/2023;13_07r0$_7r@8@j0$_y_g@$70$;343,354,689,074,352
01/09/2023;1_50v1513970_d3_713rr@$;369,082,478,260,615
01/09/2023;2_3$7ruc7ur@;382,361,720,566,186
01/09/2023;3_@|8@91|3r1@;375,116,629,468,782
01/09/2023;4_y3$3r1@;368,029,399,610,367
01/09/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;433,382,952,506,182
01/09/2023;6_19$7@|@c109_d3_g@$;432,833,575,078,963
01/09/2023;7_19$7@|@c109_3|3c7r1c@;398,448,705,367,253
01/09/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;406,998,671,784,916
01/09/2023;9_c@rp1973r1@_d3_5@d3r@;430,636,059,406,374
01/09/2023;10_@$c39$0r3$;405,212,032,058,436
01/09/2023;11_v1dr10$;440,667,628,030,244
01/09/2023;12_p197ur@;34,900,656,480,567
01/09/2023;13_07r0$_7r@8@j0$_y_g@$70$;393,425,980,494,667
01/10/2023;1_50v1513970_d3_713rr@$;376,310,641,056,338
01/10/2023;2_3$7ruc7ur@;395,684,141,023,701
01/10/2023;3_@|8@91|3r1@;384,967,488,780,205
01/10/2023;4_y3$3r1@;418,029,399,610,367
01/10/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;506,041,961,280,505
01/10/2023;6_19$7@|@c109_d3_g@$;486,747,820,900,378
01/10/2023;7_19$7@|@c109_3|3c7r1c@;440,799,803,729,146
01/10/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;48,482,185,862,537
01/10/2023;9_c@rp1973r1@_d3_5@d3r@;49,984,470,351,495
01/10/2023;10_@$c39$0r3$;448,123,161,205,235
01/10/2023;11_v1dr10$;490,684,192,064,853
01/10/2023;12_p197ur@;386,559,577,063,847
01/10/2023;13_07r0$_7r@8@j0$_y_g@$70$;418,108,971,312,333
01/11/2023;1_50v1513970_d3_713rr@$;428,649,267,372,527
01/11/2023;2_3$7ruc7ur@;437,133,581,853,447
01/11/2023;3_@|8@91|3r1@;427,726,792,951,471
01/11/2023;4_y3$3r1@;476,633,803,648,385
01/11/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;564,487,557,992,408
01/11/2023;6_19$7@|@c109_d3_g@$;588,468,055,687,348
01/11/2023;7_19$7@|@c109_3|3c7r1c@;488,682,343,172,039
01/11/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;527,107,264,314,801
01/11/2023;9_c@rp1973r1@_d3_5@d3r@;555,084,319,429,559
01/11/2023;10_@$c39$0r3$;522,958,303,743,533
01/11/2023;11_v1dr10$;549,337,438,615,637
01/11/2023;12_p197ur@;450,726,195,317,493
01/11/2023;13_07r0$_7r@8@j0$_y_g@$70$;453,178,646,793,787
01/12/2023;1_50v1513970_d3_713rr@$;545,379,103,327,045
01/12/2023;2_3$7ruc7ur@;576,188,838,604,069
01/12/2023;3_@|8@91|3r1@;519,315,773,783,146
01/12/2023;4_y3$3r1@;613,102,898,636,283
01/12/2023;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;801,173,493,437,864
01/12/2023;6_19$7@|@c109_d3_g@$;885,927,693,204,463
01/12/2023;7_19$7@|@c109_3|3c7r1c@;688,453,989,582,547
01/12/2023;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;720,200,545,881,803
01/12/2023;9_c@rp1973r1@_d3_5@d3r@;771,868,369,824,362
01/12/2023;10_@$c39$0r3$;67,565,942,984,681
01/12/2023;11_v1dr10$;754,226,751,890,249
01/12/2023;12_p197ur@;658,952,535,874,049
01/12/2023;13_07r0$_7r@8@j0$_y_g@$70$;520,011,976,958,613
01/01/2024;1_50v1513970_d3_713rr@$;618,752,226,498,396
01/01/2024;2_3$7ruc7ur@;658,999,683,618,306
01/01/2024;3_@|8@91|3r1@;610,097,412,799,833
01/01/2024;4_y3$3r1@;728,431,430,426,826
01/01/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;962,020,658,115,629
01/01/2024;6_19$7@|@c109_d3_g@$;933,763,504,995,323
01/01/2024;7_19$7@|@c109_3|3c7r1c@;749,024,307,390,352
01/01/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;793,173,558,302,803
01/01/2024;9_c@rp1973r1@_d3_5@d3r@;870,452,109,626,195
01/01/2024;10_@$c39$0r3$;945,373,845,997,769
01/01/2024;11_v1dr10$;870,991,503,624,601
01/01/2024;12_p197ur@;716,509,324,347,877
01/01/2024;13_07r0$_7r@8@j0$_y_g@$70$;595,343,244,425,011
01/02/2024;1_50v1513970_d3_713rr@$;675,692,185,501,626
01/02/2024;2_3$7ruc7ur@;683,648,568,716,728
01/02/2024;3_@|8@91|3r1@;633,332,259,026,194
01/02/2024;4_y3$3r1@;752,892,732,746,915
01/02/2024;5_19$7@|@c109_$@917@r1@_y_c097r@19c39d10;100,750,903,482,439
01/02/2024;6_19$7@|@c109_d3_g@$;956,563,054,941,778
01/02/2024;7_19$7@|@c109_3|3c7r1c@;779,210,387,257,492
01/02/2024;8_c@rp1973r1@_537@|1c@_y_h3rr3r1@;80,714,025,075,533
01/02/2024;9_c@rp1973r1@_d3_5@d3r@;941,690,544,412,607
01/02/2024;10_@$c39$0r3$;104,969,818,403,165
01/02/2024;11_v1dr10$;958,214,786,811,131
01/02/2024;12_p197ur@;766,586,301,051,531
